Code,Drug Name,Pack Size,Strength Measure,Name,Reimbursement Price,Non Proprietary Name,Ref Price,Dental,Reference Priced,INN
93275,Bard Spirit Male External (Sheath) Catheter Style 1: 35301/02/03/04/05; Style 2: 37301/02/03/04/05; Style 3: 39301/02/03/04/05 30 (A),30,,BARD STYLES 1-3  35301/02/03/04/05; 37301/02/03/04/05; 39301/02/03/04/05 SPIRIT MALE EXT. (SHEATH) ,39.95,,0.0,N,N,
93278,BARD StatLock Foley Stablisation Device FOL0102DT 5 (A),5,,BARD FOL0102DT STATLOCK FOLEY STABILISATION DEVICE,14.85,,0.0,N,N,
93280,Bard Uriplan 750 ml. Leg Bag with Adjustable Inlet Tube D7LX 10 (A),10,,BARD D7LX URIPLAN 750 ML LEG BAG WITH ADJUSTABLE INLET TUBE,34.29,,0.0,N,N,
13342,Calcichew-D3 Forte Double Strength Tabs. 1000 mg./800 IU 30 (A),30,1000/800MG/IU,CALCICHEW-D3 FORTE DOUBLE STRENGTH,5.49,,0.0,N,N,CALCIUM CARBONATE AND COLECALCIFEROL
93910,Pat Coakley Cath-Secure Multi-Purpose Tube Holder 5445-2 1 (A),1,,PAT COAKLEY 5445-2 CATH-SECURE MULTI-PURPOSE TUBE HOLDER,3.98,,0.0,N,N,
93913,Pat Coakley Tube Secure for Kids 7334-1 1 (A),1,,PAT COAKLEY 7334-1 TUBE-SECURE FOR KIDS,2.35,,0.0,N,N,
93915,Pat Coakley Cath-Secure Plus 5445-6 1 (A),1,,PAT COAKLEY 5445-6 CATH-SECURE PLUS,4.23,,0.0,N,N,
93599,Linc Medical LINC-Flo Sterile Leg Bag 500 ml. 30 cm. Tube & Lever Tap LM500LD-L 10 (A),10,,LINC MEDICAL LM500LD-L LINC-FLO STERILE LEG BAG 500 ML 30 CM TUBE & LEVER TAP,25.95,,0.0,N,N,
93600,Linc Medical LINC-Flo Sterile Leg Bag 500 ml. 10 cm. Tube & Lever Tap LM500MD-L 10 (A),10,,LINC MEDICAL LM500MD-L LINC-FLO STERILE LEG BAG 500 ML 10 CM TUBE & LEVER TAP,25.95,,0.0,N,N,
93601,Coloplast SenSura Flex Baseplates Flat X-Pro 2 Piece Ostomy System 10104/05/06 10 (A),10,,COLOPLAST 10104/05/06 SENSURA FLEX BASEPLATES FLAT X-PRO 2 PIECE OSTOMY SYSTEM,45.85,,0.0,N,N,
93603,Linc Medical LINC-Flo Sterile Leg Bag 500 ml. 30 cm. Tube & T-Tap LM500LD-T 10 (A),10,,LINC MEDICAL LM500LD-T LINC-FLO STERILE LEG BAG 500 ML 30 CM TUBE & T-TAP,25.95,,0.0,N,N,
93604,Linc Medical LINC-Flo Sterile Leg Bag 500 ml. Adjustable Tube & Lever Tap LM500AD-L 10 (A),10,,LINC MEDICAL LM500AD-L LINC-FLO STERILE LEG BAG 500 ML ADJUSTABLE TUBE & LEVER TAP,25.95,,0.0,N,N,
93605,Coloplast SenSura Flex Closed 2 Piece Ostomy System 13204/05/12/14/15/17/18/20/24/91 30 (A),30,,COLOPLAST 13204/05/12/14/15/17/18/20/24/91 SENSURA FLEX CLOSED 2 PIECE OSTOMY SYSTEM,61.8,,0.0,N,N,
93607,Linc Medical LINC-Flo Sterile Leg Bag 500 ml. Direct Tube & Lever Tap LM500SD-L 10 (A),10,,LINC MEDICAL LM500SD-L LINC-FLO STERILE LEG BAG 500 ML DIRECT TUBE & LEVER TAP,25.95,,0.0,N,N,
93609,Qufora Catheter Valve (Q-Flow) Sterile Catheter Valves 21104204 5 (A),5,,QUFORA 21104204 CATHETER VALVE (Q-FLOW) STERILE ,10.38,,0.0,N,N,
93620,Coloplast SenSura Flex Baseplates Convex 2 Piece Ostomy System 11301/02/03/07/12/13/14/15/16/17 5 (A),5,,COLOPLAST 11301/02/03/07/12/13/14/15/16/17 SENSURA FLEX BASEPLATES CONVEX 2 PIECE OSTOMY SYSTEM,23.41,,0.0,N,N,
93626,"Qufora IrriSedo Bed System Trans Anal Irrigation 53001-055 21 mm, 53101-055 30 mm, 53201-055 12 mm 1 (A)",1,,"QUFORA 53001-055 21MM, 53101-055 30MM, 53201-055 12MM IRRISEDO BED SYSTEM TRANS ANAL IRRIGATION",60.91,,0.0,N,N,
93641,"MED Surgical Rusch Urinary Leg Bag Tubing Lever Tap 850363 350 ml, 500 ml, 750 ml. 10 cm & 850364 350 ml, 500 ml, 750 ml. 30 cm. 10 (A)",10,,"MED SURGICAL 850363 350ML,500ML,750ML 10CM & 850364 350ML,500ML,750ML 30CM RUSCH TUBING LEVER TAP",26.55,,0.0,N,N,
93642,"Merit Drainage Depot 600 ml. Drainage Bag with VELCRO brand strap,61cm Length Large Bore Tubing and Barbed Male Luer and Soft Cloth Backing FZ624 20 (A)",20,,MERIT FZ624 DRAINAGE DEPOT 600 ML DRAINAGE BAG C VELCRO BRAND STRAP 61CM LENGTH LRG BORE TUBING,190.4,,0.0,N,N,
93644,Salts Secuplast Hydro with Aloe Hydrocolloid Security Strips SPHA2 30 (A),30,,SALTS SPHA2 SECUPLAST HYDRO WITH ALOE HYDROCOLLOID SECURITY STRIPS,15.51,,0.0,N,N,
93646,Salts Wipe Away Plus Adhesive Remover Spray 50 ml. WAP 1 (A),1,,SALTS WAP WIPE AWAY PLUS ADHESIVE REMOVER SPRAY 50 ML,7.8,,0.0,N,N,
93648,Salts Confidence Comfort Colostomy Pouch CFL28/CF28 30 (A),30,,SALTS CFL28/CF28 CONFIDENCE COMFORT,98.42,,0.0,N,N,
93650,Coloplast Urostomy Night Bag 21365 10 (A),10,,COLOPLAST 21365 UROSTOMY NIGHT,20.43,,0.0,N,N,
93651,Coloplast Simpla Catheter Retaining G Strap 383003 5 (A),5,,COLOPLAST 383003 SIMPLA CATHETER RETAINING G STRAP,18.52,,0.0,N,N,
53487,AirFluSal Forspiro Inhalation Powder 50 mcg./250 mcg. 60 Dose Pack 1 (A),1,50/250MCG,AIRFLUSAL FORSPIRO INHALATION ,20.66,,0.0,N,N,SALMETEROL AND FLUTICASONE
53488,AirFluSal Forspiro Inhalation Powder 50 mcg./500 mcg. 60 Dose Pack 1 (A),1,50/500MCG,AIRFLUSAL FORSPIRO INHALATION ,24.48,,0.0,N,N,SALMETEROL AND FLUTICASONE
53491,DuoResp Spiromax TEVA Inhalation Powder 320 mcg./9 mcg. 60 Dose Pack 1 (A),1,320/9MCG,DUORESP SPIROMAX TEVA INHALATION,25.06,,0.0,N,N,FORMOTEROL AND BUDESONIDE
93754,Great Bear Libra Lever Catheter Valve 10540A 5 (A),5,,GREAT BEAR 10540A LIBRA LEVER,15.21,,0.0,N,N,
93779,Great Bear Baby Bear Leg Bag Adjustable Tube 150 ml. 10125B 10 (A),10,,GREAT BEAR 10125B BABY BEAR ADJUSTABLE TUBE 150 ML,35.34,,0.0,N,N,
93781,Great Bear Baby Bear Leg Bag Direct Inlet 150 ml. 10101B 10 (A),10,,GREAT BEAR 10101B BABY BEAR DIRECT INLET 150ML,35.34,,0.0,N,N,
93788,Great Bear Libra Leg Bag Direct Inlet 500 ml. 10131H 10 (A),10,,GREAT BEAR 10131H LIBRA DIRECT INLET 500 ML,34.14,,0.0,N,N,
93790,Great Bear Libra Leg Bag Short Tube 500 ml. 10102C 10 (A),10,,GREAT BEAR 10102C LIBRA SHORT TUBE 500 ML,34.38,,0.0,N,N,
93794,Great Bear Libra Leg Bag Adjustable Tube 750 ml. 10110L 10 (A),10,,GREAT BEAR 10110L LIBRA ADJUSTABLE TUBE 750 ML,34.76,,0.0,N,N,
93795,Great Bear Libra Leg Bag 750 ml. Long Tube 10108J 10 (A),10,,GREAT BEAR 10108J LIBRA 750 ML LONG TUBE,34.76,,0.0,N,N,
93798,Great Bear Libra Leg Bag 750 ml. Short Tube 10106G 10 (A),10,,GREAT BEAR 10106G LIBRA 750 ML SHORT TUBE,34.76,,0.0,N,N,
93799,Great Bear Libra Leg Bag 750 ml. Direct Inlet 10132J 10 (A),10,,GREAT BEAR 10132J LIBRA 750 ML DIRECT INLET,34.52,,0.0,N,N,
54352,Crinone (P.C.O. Mfg.) 8% Vag. Gel Applicator 15 (A),15,8%,CRINONE (P.C.O. MFG.) VAG. GEL,43.79,,0.0,N,N,PROGESTERONE
93282,Bard Comfasure Foley Stablilisation Device SM3404; AD3403; AB3405 5 (A),5,,BARD SM3404; AD3403; AB3405 COMFASURE FOLEY STABLISATION DEVICE CATHETER SECUREMENT,17.02,,0.0,N,N,
93283,Bullen Healthcare Hi slip Hydrophilic Tiemann ISC Catheter HS.PM4008-HS.PM4024 CH8 - CH24 30 (A),30,,BULLEN HEALTHCARE HS.PM4008-HS.PM4024 CH8 - CH24 HI SLIP HYDROPHILIC TIEMANN ISC,41.62,,0.0,N,N,
93284,Bullen Healthcare Hi slip Hydrophilic Tiemann ISC Catheter HS.PT4010-HS.PT4020 30 (A),30,,BULLEN HEALTHCARE HS.PT4010-HS.PT4020 HI SLIP HYDROPHILIC TIEMANN ISC ,45.41,,0.0,N,N,
93286,Bullen Healthcare Hi slip Plus Hydrophilic ISC Catheter Male HS.PM4008-HS.PM4024 30 (A),30,,BULLEN HEALTHCARE HS.PM4008-HS.PM4024 HI SLIP PLUS HYDROPHILIC INTERMITTENT MALE,39.73,,0.0,N,N,
93287,Bullen Healthcare Hi slip Nelaton Catheter Kit Female HS.KF2008-HS.KF2016 CH8-CH16 20 (A),20,,BULLEN HEALTHCARE HS.KF2008-HS.KF2016 CH8-CH16 HI SLIP NELATON CATHETER FEMALE,39.02,,0.0,N,N,
36850,Xigduo Film Coated Tabs. 5 mg./850 mg. 56 (A),56,5/850MG,XIGDUO,39.29,,0.0,N,N,METFORMIN AND DAPAGLIFLOZIN
36851,Xigduo Film Coated Tabs. 5 mg./1000 mg. 56 (A),56,5/1000MG,XIGDUO,39.25,,0.0,N,N,METFORMIN AND DAPAGLIFLOZIN
88493,Stivarga Film Coated Tabs. 40 mg. 84 (A),84,40MG,STIVARGA,0.0,,0.0,N,N,REGORAFENIB
