Nome do Medicamento;Substância Ativa/DCI;Forma Farmacêutica;Dosagem;Apresentação;Titular de AIM;Via;ATC;PVP;Código;CNPEM
Cytotec;Misoprostol;Comprimido;0.2 mg;"Blister; 20 unidade(s)";Laboratórios Pfizer, Lda.;Via oral;A02BB01 - misoprostol;5,43;8628628;50069349
Cytotec;Misoprostol;Comprimido;0.2 mg;"Blister; 60 unidade(s)";Laboratórios Pfizer, Lda.;Via oral;A02BB01 - misoprostol;14,10;8628636;50069330
Albosan;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;5,36;2151397;50008692
Albosan;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 28 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;8,97;2151496;50008706
Albosan;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 56 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;15,39;2997294;50008714
Albosan;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 14 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;5,36;4156097;50019066
Albosan;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 28 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;5,87;4156196;50019074
Albosan;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 56 unidade(s)";Acino AG;Via oral;A02BC01 - omeprazole;11,55;5476593;50019082
Losec;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 28 unidade(s)";Cheplapharm Arzneimittel GmbH;Via oral;A02BC01 - omeprazole;16,50;8686915;50008706
Losec;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Cheplapharm Arzneimittel GmbH;Via oral;A02BC01 - omeprazole;10,78;8686907;50008692
Omeprazol Alter;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Alter, S.A.;Via oral;A02BC01 - omeprazole;6,72;5720933;50008692
Omeprazol Alter;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Alter, S.A.;Via oral;A02BC01 - omeprazole;5,35;5720941;50008714
Omeprazol Alter;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 56 unidade(s)";Alter, S.A.;Via oral;A02BC01 - omeprazole;10,90;5777149;50019082
Omeprazol Aurovitas;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;6,68;5266382;50008692
Omeprazol Aurovitas;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 56 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;6,68;5266580;50008714
Omeprazol Azevedos;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Laboratórios Azevedos - Indústria Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;6,68;5083977;50008714
Omeprazol Azevedos;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Laboratórios Azevedos - Indústria Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;6,72;5083969;50008692
Omeprazol Basi;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Laboratórios Basi - Indústria Farmacêutica, S.A;Via oral;A02BC01 - omeprazole;6,68;5174735;50008692
Omeprazol Basi;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Laboratórios Basi - Indústria Farmacêutica, S.A;Via oral;A02BC01 - omeprazole;8,49;5174750;50008714
Omeprazol Bluepharma;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Bluepharma Genéricos - Comércio de Medicamentos S.A.;Via oral;A02BC01 - omeprazole;6,68;4428488;50008692
Omeprazol Bluepharma;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 56 unidade(s)";Bluepharma Genéricos - Comércio de Medicamentos S.A.;Via oral;A02BC01 - omeprazole;8,50;4877981;50008714
Omeprazol Bluepharma;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 28 unidade(s)";Bluepharma Genéricos - Comércio de Medicamentos S.A.;Via oral;A02BC01 - omeprazole;12,73;4428587;50008706
Omeprazol Bravet;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;2,70;5107511;50008692
Omeprazol Bravet;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;4,48;5107537;50008714
Omeprazol Ciclum;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Ciclum Farma Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;3,29;5289079;50008692
Omeprazol Ciclum;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Ciclum Farma Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;4,98;5289111;50008714
Omeprazol Farmoz;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 60 unidade(s)";Farmoz - Sociedade Técnico Medicinal, S.A.;Via oral;A02BC01 - omeprazole;11,67;5035498;50019082
Omeprazol Farmoz;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 10 unidade(s)";Farmoz - Sociedade Técnico Medicinal, S.A.;Via oral;A02BC01 - omeprazole;5,36;5035290;50019066
Omeprazol Farmoz 20 mg Cápsulas Duras;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 10 unidade(s)";Farmoz - Sociedade Técnico Medicinal, S.A.;Via oral;A02BC01 - omeprazole;5,11;3808995;50008692
Omeprazol Farmoz 20 mg Cápsulas Duras;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 60 unidade(s)";Farmoz - Sociedade Técnico Medicinal, S.A.;Via oral;A02BC01 - omeprazole;6,68;3809191;50008714
Omeprazol Farmoz 20 mg Cápsulas Duras;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 30 unidade(s)";Farmoz - Sociedade Técnico Medicinal, S.A.;Via oral;A02BC01 - omeprazole;13,79;3809092;50008706
Omeprazol Gasec 20 mg Cápsulas duras gastrorresistentes;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;6,68;5032297;50008692
Omeprazol Gasec 20 mg Cápsulas duras gastrorresistentes;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;8,49;5032495;50008714
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;10 mg;"Blister; 14 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;4,29;5406087;50024485
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;10 mg;"Blister; 56 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;8,70;5543988;50024507
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;6,68;5249289;50008692
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;9,46;5249487;50008714
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;13,06;5249388;50008706
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;4,61;5406285;50019066
Omeprazol Generis;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Generis Farmacêutica, S.A.;Via oral;A02BC01 - omeprazole;16,33;5544085;50019082
Omeprazol Genkern;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;6,68;5114822;50008692
Omeprazol Genkern;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;9,97;5114855;50008714
Omeprazol GP;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";GP - Genéricos Portugueses, Lda.;Via oral;A02BC01 - omeprazole;13,00;5183900;50019066
Omeprazol GP;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";GP - Genéricos Portugueses, Lda.;Via oral;A02BC01 - omeprazole;11,28;5183926;50019082
Omeprazol GP 20 mg Cápsulas;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";GP - Genéricos Portugueses, Lda.;Via oral;A02BC01 - omeprazole;6,68;3988995;50008692
Omeprazol GP 20 mg Cápsulas;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";GP - Genéricos Portugueses, Lda.;Via oral;A02BC01 - omeprazole;6,10;4821690;50008714
Omeprazol GP 20 mg Cápsulas;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";GP - Genéricos Portugueses, Lda.;Via oral;A02BC01 - omeprazole;13,06;3989092;50008706
Omeprazol Krka;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";KRKA Farmacêutica, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;3,42;5283056;50008692
Omeprazol Krka;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";KRKA Farmacêutica, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;8,48;5283072;50008714
Omeprazol Krka;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";KRKA Farmacêutica, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;12,73;5283064;50008706
Omeprazol Krka;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 60 unidade(s)";KRKA Farmacêutica, Sociedade Unipessoal, Lda.;Via oral;A02BC01 - omeprazole;25,23;5283106;50008714
Omeprazol Lumec;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;6,17;5146543;50008692
Omeprazol Lumec;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 56 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;5,03;5146568;50008714
Omeprazol Lumec;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 28 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;13,06;5146550;50008706
Omeprazol Medinfar;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;23,84;4735999;50008714
Omeprazol Medinfar;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;6,68;4735791;50008692
Omeprazol Medinfar;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;13,06;4735890;50008706
Omeprazol Mepraz 20 mg Cápsula gastrorresistente;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 10 unidade(s)";Baldacci - Portugal, S.A.;Via oral;A02BC01 - omeprazole;4,44;2166791;50008692
Omeprazol Mepraz 20 mg Cápsula gastrorresistente;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 60 unidade(s)";Baldacci - Portugal, S.A.;Via oral;A02BC01 - omeprazole;11,45;2245397;50008714
Omeprazol Mepraz 20 mg Cápsula gastrorresistente;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 30 unidade(s)";Baldacci - Portugal, S.A.;Via oral;A02BC01 - omeprazole;13,19;2127892;50008706
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;6,68;5680947;50008692
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;8,50;5680954;50008714
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;6,72;3352184;50008692
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;13,06;3352283;50008706
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;8,50;3352788;50008714
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 56 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;11,00;3870482;50019082
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;10,73;3869989;50019066
