Nome do Medicamento;Substância Ativa/DCI;Forma Farmacêutica;Dosagem;Apresentação;Titular de AIM;Via;ATC;PVP;Código;CNPEM
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 28 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;18,20;3870185;50019074
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 30 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;20,34;3870284;50019074
Omeprazol Mylan;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 60 unidade(s)";Viatris Limited;Via oral;A02BC01 - omeprazole;36,05;3872181;50019082
Omeprazol Proclor 20 mg Cápsulas Gastrorresistentes;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 10 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;5,11;2166890;50008692
Omeprazol Proclor 20 mg Cápsulas Gastrorresistentes;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 60 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;8,79;2175594;50008714
Omeprazol Proclor 20 mg Cápsulas Gastrorresistentes;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 30 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;13,79;2128296;50008706
Omeprazol Ratiopharm;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;3,29;5107354;50008692
Omeprazol Ratiopharm;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;11,89;5107370;50008714
Omeprazol Ratiopharm;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;10,90;5107420;50019082
Omeprazol Ratiopharm;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;6,64;5107404;50019066
Omeprazol Sandoz;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Sandoz Farmacêutica, Lda.;Via oral;A02BC01 - omeprazole;6,68;5930789;50008692
Omeprazol Sandoz;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Sandoz Farmacêutica, Lda.;Via oral;A02BC01 - omeprazole;8,49;5930888;50008714
Omeprazol Tecnigen;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 15 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;2,92;5893557;50008692
Omeprazol Tecnigen;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 60 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;5,73;5879341;50008714
Omeprazol Teva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;6,68;5107438;50008692
Omeprazol Teva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;5,35;5107453;50008714
Omeprazol Teva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;16,33;5107503;50019082
Omeprazol Teva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Teva Pharma - Produtos Farmacêuticos, Lda.;Via oral;A02BC01 - omeprazole;6,64;5107461;50019066
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;6,68;5198122;50008692
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;6,68;5198148;50008714
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 14 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;6,72;5198155;50008692
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;20 mg;"Frasco; 56 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;23,84;5198171;50008714
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;12,12;5198221;50019082
Omeprazol Tolife;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 56 unidade(s)";Towa Pharmaceutical, S.A.;Via oral;A02BC01 - omeprazole;43,16;5198254;50019082
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;2,87;5646211;50008692
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;6,68;5646237;50008714
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;7,21;5646161;50008692
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;12,64;5646179;50008706
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 28 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;12,64;5646229;50008706
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;23,79;5646203;50008714
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;11,85;5599519;50019082
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 14 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;13,00;5171541;50019066
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;15,94;5599477;50019066
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 28 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;26,74;5599501;50019074
Omeprazol Vitória;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 56 unidade(s)";Faes Farma Portugal, S.A.;Via oral;A02BC01 - omeprazole;31,87;5171566;50019082
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;6,03;5595632;50008692
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 14 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;6,68;5769963;50008692
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;6,68;5595640;50008714
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;20 mg;"Blister; 56 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;8,50;5769971;50008714
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;4,15;5595913;50019066
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;4,35;5770003;50019066
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;11,95;5595921;50019082
Omeprazol Zentiva;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Zentiva Portugal, Lda.;Via oral;A02BC01 - omeprazole;10,90;5770011;50019082
Proclor 40 mg cápsulas duras gastrorresistentes;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 60 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;14,10;3647393;50019082
Proclor 40 mg cápsulas duras gastrorresistentes;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 10 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;5,36;3647195;50019066
Proclor 40 mg cápsulas duras gastrorresistentes;Omeprazol;Cápsula gastrorresistente;40 mg;"Frasco; 30 unidade(s)";Pentafarma - Sociedade Técnico-Medicinal, S.A.;Via oral;A02BC01 - omeprazole;12,35;3647294;50019074
Proton;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 14 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;6,26;4762993;50019066
Proton;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 56 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;20,31;5319496;50019082
Proton;Omeprazol;Cápsula gastrorresistente;40 mg;"Blister; 28 unidade(s)";Laboratório Medinfar - Produtos Farmacêuticos, S.A.;Via oral;A02BC01 - omeprazole;12,38;4763090;50019074
Apton;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 14 unidade(s)";Viatris Healthcare, Lda.;Via oral;A02BC02 - pantoprazole;5,36;2854586;50019813
Apton;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 56 unidade(s)";Viatris Healthcare, Lda.;Via oral;A02BC02 - pantoprazole;14,10;2854784;50019830
Apton 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 56 unidade(s)";Viatris Healthcare, Lda.;Via oral;A02BC02 - pantoprazole;21,66;3165685;50002325
Apton 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 14 unidade(s)";Viatris Healthcare, Lda.;Via oral;A02BC02 - pantoprazole;6,40;2357580;50002309
Pantoc;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 14 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;5,36;2854883;50019813
Pantoc;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 56 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;15,58;2855088;50019830
Pantoc;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 14 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;5,36;5039631;50019813
Pantoc;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 56 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;14,10;5039649;50019830
Pantoc 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 14 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;6,29;2354785;50002309
Pantoc 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 56 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;20,56;3162286;50002325
Pantoc 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 14 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;6,29;5047469;50002309
Pantoc 40 mg;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 56 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via oral;A02BC02 - pantoprazole;20,56;5047477;50002325
Pantoc IV;Pantoprazol;Pó para solução injetável;40 mg;"Frasco para injetáveis; 1 unidade(s)";Takeda - Farmacêuticos Portugal, Lda.;Via intravenosa;A02BC02 - pantoprazole;6,56;2631182;50013963
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 14 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;3,84;5033402;50019813
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 56 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;4,65;5033428;50019830
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;20 mg;"Blister; 28 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;5,01;5033410;50019821
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 14 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;4,39;5033436;50002309
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 56 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;6,68;5033451;50002325
Pantoprazol Alter;Pantoprazol;Comprimido gastrorresistente;40 mg;"Blister; 28 unidade(s)";Alter, S.A.;Via oral;A02BC02 - pantoprazole;8,64;5033444;50002317
