value,code,label
REF_CLASS_ATC:A04AA05,A04AA05,A04AA05 - palonosetron
REF_CLASS_ATC:A04AA55,A04AA55,"A04AA55 - palonosetron, combinations"
REF_CLASS_ATC:A04AD10,A04AD10,A04AD10 - dronabinol
REF_CLASS_ATC:A04AD12,A04AD12,A04AD12 - aprepitant
REF_CLASS_ATC:A04AD54,A04AD54,"A04AD54 - chlorobutanol, combinations"
REF_CLASS_ATC:A05AA01,A05AA01,A05AA01 - chenodeoxycholic acid
REF_CLASS_ATC:A05AA02,A05AA02,A05AA02 - ursodeoxycholic acid
REF_CLASS_ATC:A05AA03,A05AA03,A05AA03 - cholic acid
REF_CLASS_ATC:A05AA04,A05AA04,A05AA04 - obeticholic acid
REF_CLASS_ATC:A05AX01,A05AX01,A05AX01 - piprozolin
REF_CLASS_ATC:A05AX04,A05AX04,A05AX04 - maralixibat chloride
REF_CLASS_ATC:A05AX05,A05AX05,A05AX05 - odevixibat
REF_CLASS_ATC:A05BA01,A05BA01,A05BA01 - arginine glutamate
REF_CLASS_ATC:A05BA03,A05BA03,A05BA03 - silymarin
REF_CLASS_ATC:A06AA01,A06AA01,A06AA01 - liquid paraffin
REF_CLASS_ATC:A06AB02,A06AB02,A06AB02 - bisacodyl
REF_CLASS_ATC:A06AB04,A06AB04,A06AB04 - phenolphthalein
REF_CLASS_ATC:A06AB05,A06AB05,A06AB05 - castor oil
REF_CLASS_ATC:A06AB06,A06AB06,A06AB06 - senna glycosides
REF_CLASS_ATC:A06AB07,A06AB07,A06AB07 - cascara
REF_CLASS_ATC:A06AB08,A06AB08,A06AB08 - sodium picosulfate
REF_CLASS_ATC:A06AB56,A06AB56,"A06AB56 - senna glycosides, combinations"
REF_CLASS_ATC:A06AB58,A06AB58,"A06AB58 - sodium picosulfate, combinations"
REF_CLASS_ATC:A06AC01,A06AC01,A06AC01 - ispaghula (psylla seeds)
REF_CLASS_ATC:A06AC08,A06AC08,A06AC08 - polycarbophil calcium
REF_CLASS_ATC:A06AC51,A06AC51,"A06AC51 - ispaghula, combinations"
REF_CLASS_ATC:A06AD01,A06AD01,A06AD01 - magnesium carbonate
REF_CLASS_ATC:A06AD04,A06AD04,A06AD04 - magnesium sulfate
REF_CLASS_ATC:A06AD10,A06AD10,A06AD10 - mineral salts in combination
REF_CLASS_ATC:A06AD11,A06AD11,A06AD11 - lactulose
REF_CLASS_ATC:A06AD12,A06AD12,A06AD12 - lactitol
REF_CLASS_ATC:A06AD15,A06AD15,A06AD15 - macrogol
REF_CLASS_ATC:A06AD17,A06AD17,A06AD17 - sodium phosphate
REF_CLASS_ATC:A06AD61,A06AD61,"A06AD61 - lactulose, combinations"
REF_CLASS_ATC:A06AD65,A06AD65,"A06AD65 - macrogol, combinations"
REF_CLASS_ATC:A06AG01,A06AG01,A06AG01 - sodium phosphate
REF_CLASS_ATC:A06AG04,A06AG04,A06AG04 - glycerol
REF_CLASS_ATC:A06AG07,A06AG07,A06AG07 - sorbitol
REF_CLASS_ATC:A06AG10,A06AG10,"A06AG10 - docusate sodium, incl. combinations"
REF_CLASS_ATC:A06AG20,A06AG20,A06AG20 - combinations
REF_CLASS_ATC:A06AH01,A06AH01,A06AH01 - methylnaltrexone bromide
REF_CLASS_ATC:A06AH03,A06AH03,A06AH03 - naloxegol
REF_CLASS_ATC:A06AH05,A06AH05,A06AH05 - naldemedine
REF_CLASS_ATC:A06AX01,A06AX01,A06AX01 - glycerol
REF_CLASS_ATC:A06AX04,A06AX04,A06AX04 - linaclotide
REF_CLASS_ATC:A06AX05,A06AX05,A06AX05 - prucalopride
REF_CLASS_ATC:A07AA01,A07AA01,A07AA01 - neomycin
REF_CLASS_ATC:A07AA02,A07AA02,A07AA02 - nystatin
