value,code,label
REF_CLASS_ATC:B01AD04,B01AD04,B01AD04 - urokinase
REF_CLASS_ATC:B01AD07,B01AD07,B01AD07 - reteplase
REF_CLASS_ATC:B01AD10,B01AD10,B01AD10 - drotrecogin alfa (activated)
REF_CLASS_ATC:B01AD11,B01AD11,B01AD11 - tenecteplase
REF_CLASS_ATC:B01AD12,B01AD12,B01AD12 - protein C
REF_CLASS_ATC:B01AE01,B01AE01,B01AE01 - desirudin
REF_CLASS_ATC:B01AE02,B01AE02,B01AE02 - lepirudin
REF_CLASS_ATC:B01AE04,B01AE04,B01AE04 - melagatran
REF_CLASS_ATC:B01AE05,B01AE05,B01AE05 - ximelagatran
REF_CLASS_ATC:B01AE06,B01AE06,B01AE06 - bivalirudin
REF_CLASS_ATC:B01AE07,B01AE07,B01AE07 - dabigatran etexilate
REF_CLASS_ATC:B01AF01,B01AF01,B01AF01 - rivaroxaban
REF_CLASS_ATC:B01AF02,B01AF02,B01AF02 - apixaban
REF_CLASS_ATC:B01AF03,B01AF03,B01AF03 - edoxaban
REF_CLASS_ATC:B01AF51,B01AF51,B01AF51 - rivaroxaban and acetylsalicylic acid
REF_CLASS_ATC:B01AX01,B01AX01,B01AX01 - defibrotide
REF_CLASS_ATC:B01AX04,B01AX04,B01AX04 - dermatan sulfate
REF_CLASS_ATC:B01AX05,B01AX05,B01AX05 - fondaparinux
REF_CLASS_ATC:B01AX07,B01AX07,B01AX07 - caplacizumab
REF_CLASS_ATC:B02AA01,B02AA01,B02AA01 - aminocaproic acid
REF_CLASS_ATC:B02AA02,B02AA02,B02AA02 - tranexamic acid
REF_CLASS_ATC:B02AB01,B02AB01,B02AB01 - aprotinin
REF_CLASS_ATC:B02AB02,B02AB02,B02AB02 - alfa1 antitrypsin
REF_CLASS_ATC:B02BA01,B02BA01,B02BA01 - phytomenadione
REF_CLASS_ATC:B02BB01,B02BB01,"B02BB01 - fibrinogen, human"
REF_CLASS_ATC:B02BC30,B02BC30,B02BC30 - combinations
REF_CLASS_ATC:B02BD01,B02BD01,"B02BD01 - coagulation factor IX, II, VII and X in combination"
REF_CLASS_ATC:B02BD02,B02BD02,B02BD02 - coagulation factor VIII
REF_CLASS_ATC:B02BD03,B02BD03,B02BD03 - factor VIII inhibitor bypassing activity
REF_CLASS_ATC:B02BD04,B02BD04,B02BD04 - coagulation factor IX
REF_CLASS_ATC:B02BD06,B02BD06,B02BD06 - von Willebrand factor and coagulation factor VIII in combination
REF_CLASS_ATC:B02BD07,B02BD07,B02BD07 - coagulation factor XIII
REF_CLASS_ATC:B02BD08,B02BD08,B02BD08 - coagulation factor VIIa
REF_CLASS_ATC:B02BD10,B02BD10,B02BD10 - von Willebrand factor
REF_CLASS_ATC:B02BD11,B02BD11,B02BD11 - catridecacog
REF_CLASS_ATC:B02BD13,B02BD13,B02BD13 - coagulation factor X
REF_CLASS_ATC:B02BD14,B02BD14,B02BD14 - susoctocog alfa
REF_CLASS_ATC:B02BX02,B02BX02,B02BX02 - carbazochrome
REF_CLASS_ATC:B02BX03,B02BX03,B02BX03 - batroxobin
REF_CLASS_ATC:B02BX04,B02BX04,B02BX04 - romiplostim
REF_CLASS_ATC:B02BX05,B02BX05,B02BX05 - eltrombopag
REF_CLASS_ATC:B02BX06,B02BX06,B02BX06 - emicizumab
REF_CLASS_ATC:B02BX07,B02BX07,B02BX07 - lusutrombopag
REF_CLASS_ATC:B02BX08,B02BX08,B02BX08 - avatrombopag
REF_CLASS_ATC:B02BX09,B02BX09,B02BX09 - fostamatinib
REF_CLASS_ATC:B02BX10,B02BX10,B02BX10 - concizumab
REF_CLASS_ATC:B03AA01,B03AA01,B03AA01 - ferrous glycine sulfate
REF_CLASS_ATC:B03AA02,B03AA02,B03AA02 - ferrous fumarate
REF_CLASS_ATC:B03AA03,B03AA03,B03AA03 - ferrous gluconate
REF_CLASS_ATC:B03AA07,B03AA07,B03AA07 - ferrous sulfate
REF_CLASS_ATC:B03AA09,B03AA09,B03AA09 - ferrous aspartate
REF_CLASS_ATC:B03AB05,B03AB05,B03AB05 - ferric oxide polymaltose complexes
REF_CLASS_ATC:B03AB09,B03AB09,B03AB09 - ferric proteinsuccinylate
REF_CLASS_ATC:B03AB10,B03AB10,B03AB10 - ferric maltol
REF_CLASS_ATC:B03AD03,B03AD03,B03AD03 - ferrous sulfate and folic acid
REF_CLASS_ATC:B03AD04,B03AD04,B03AD04 - ferric oxide polymaltose complexes and folic acid
REF_CLASS_ATC:B03BA01,B03BA01,B03BA01 - cyanocobalamin
REF_CLASS_ATC:B03BA03,B03BA03,B03BA03 - hydroxocobalamin
REF_CLASS_ATC:B03BA04,B03BA04,B03BA04 - cobamamide
REF_CLASS_ATC:B03BA05,B03BA05,B03BA05 - mecobalamin
REF_CLASS_ATC:B03BA51,B03BA51,"B03BA51 - cyanocobalamin, combinations"
REF_CLASS_ATC:B03BB01,B03BB01,B03BB01 - folic acid
REF_CLASS_ATC:B03BB51,B03BB51,"B03BB51 - folic acid, combinations"
REF_CLASS_ATC:B03XA01,B03XA01,B03XA01 - erythropoietin
REF_CLASS_ATC:B03XA02,B03XA02,B03XA02 - darbepoetin alfa
REF_CLASS_ATC:B03XA03,B03XA03,B03XA03 - methoxy polyethylene glycol-epoetin beta
REF_CLASS_ATC:B03XA05,B03XA05,B03XA05 - roxadustat
REF_CLASS_ATC:B03XA08,B03XA08,B03XA08 - vadadustat
REF_CLASS_ATC:B05AA01,B05AA01,B05AA01 - albumin
REF_CLASS_ATC:B05AA02,B05AA02,B05AA02 - other plasma protein fractions
REF_CLASS_ATC:B05AA05,B05AA05,B05AA05 - dextran
REF_CLASS_ATC:B05AA06,B05AA06,B05AA06 - gelatin agents
REF_CLASS_ATC:B05AA07,B05AA07,B05AA07 - hydroxyethylstarch
REF_CLASS_ATC:B05AX04,B05AX04,B05AX04 - stem cells from umbilical cord blood
REF_CLASS_ATC:B05BA01,B05BA01,B05BA01 - amino acids
REF_CLASS_ATC:B05BA02,B05BA02,B05BA02 - fat emulsions
REF_CLASS_ATC:B05BA03,B05BA03,B05BA03 - carbohydrates
REF_CLASS_ATC:B05BA10,B05BA10,B05BA10 - combinations
REF_CLASS_ATC:B05BB01,B05BB01,B05BB01 - electrolytes
REF_CLASS_ATC:B05BB02,B05BB02,B05BB02 - electrolytes with carbohydrates
REF_CLASS_ATC:B05BC01,B05BC01,B05BC01 - mannitol
REF_CLASS_ATC:B05CB01,B05CB01,B05CB01 - sodium chloride
REF_CLASS_ATC:B05CB02,B05CB02,B05CB02 - sodium citrate
REF_CLASS_ATC:B05CX01,B05CX01,B05CX01 - glucose
REF_CLASS_ATC:B05CX02,B05CX02,B05CX02 - sorbitol
REF_CLASS_ATC:B05CX03,B05CX03,B05CX03 - glycine
REF_CLASS_ATC:B05CX10,B05CX10,B05CX10 - combinations
REF_CLASS_ATC:B05XA01,B05XA01,B05XA01 - potassium chloride
REF_CLASS_ATC:B05XA02,B05XA02,B05XA02 - sodium bicarbonate
REF_CLASS_ATC:B05XA03,B05XA03,B05XA03 - sodium chloride
REF_CLASS_ATC:B05XA04,B05XA04,B05XA04 - ammonium chloride
REF_CLASS_ATC:B05XA05,B05XA05,B05XA05 - magnesium sulfate
REF_CLASS_ATC:B05XA06,B05XA06,"B05XA06 - potassium phosphate, incl. combinations with other potassium salts"
REF_CLASS_ATC:B05XA07,B05XA07,B05XA07 - calcium chloride
REF_CLASS_ATC:B05XA14,B05XA14,B05XA14 - sodium glycerophosphate
REF_CLASS_ATC:B05XA16,B05XA16,B05XA16 - cardioplegia solutions
REF_CLASS_ATC:B05XA30,B05XA30,B05XA30 - combinations of electrolytes
REF_CLASS_ATC:B05XA31,B05XA31,B05XA31 - electrolytes in combination with other drugs
REF_CLASS_ATC:B05XB01,B05XB01,B05XB01 - arginine hydrochloride
REF_CLASS_ATC:B06AC01,B06AC01,"B06AC01 - c1-inhibitor, plasma derived"
REF_CLASS_ATC:B06AC02,B06AC02,B06AC02 - icatibant
REF_CLASS_ATC:B06AC04,B06AC04,B06AC04 - conestat alfa
REF_CLASS_ATC:B06AC05,B06AC05,B06AC05 - lanadelumab
REF_CLASS_ATC:B06AC08,B06AC08,B06AC08 - sebetralstat
REF_CLASS_ATC:B06AX01,B06AX01,B06AX01 - crizanlizumab
REF_CLASS_ATC:B06AX04,B06AX04,B06AX04 - mitapivat
REF_CLASS_ATC:C01AA05,C01AA05,C01AA05 - digoxin
REF_CLASS_ATC:C01AA08,C01AA08,C01AA08 - metildigoxin
REF_CLASS_ATC:C01AB01,C01AB01,C01AB01 - proscillaridin
REF_CLASS_ATC:C01BA01,C01BA01,C01BA01 - quinidine
REF_CLASS_ATC:C01BA02,C01BA02,C01BA02 - procainamide
REF_CLASS_ATC:C01BA03,C01BA03,C01BA03 - disopyramide
REF_CLASS_ATC:C01BB01,C01BB01,C01BB01 - lidocaine
REF_CLASS_ATC:C01BB02,C01BB02,C01BB02 - mexiletine
REF_CLASS_ATC:C01BC03,C01BC03,C01BC03 - propafenone
REF_CLASS_ATC:C01BC04,C01BC04,C01BC04 - flecainide
REF_CLASS_ATC:C01BD01,C01BD01,C01BD01 - amiodarone
REF_CLASS_ATC:C01BD02,C01BD02,C01BD02 - bretylium tosilate
REF_CLASS_ATC:C01BD04,C01BD04,C01BD04 - dofetilide
REF_CLASS_ATC:C01BD05,C01BD05,C01BD05 - ibutilide
REF_CLASS_ATC:C01BD07,C01BD07,C01BD07 - dronedarone
REF_CLASS_ATC:C01BG07,C01BG07,C01BG07 - cibenzoline
REF_CLASS_ATC:C01BG11,C01BG11,C01BG11 - vernakalant
REF_CLASS_ATC:C01CA01,C01CA01,C01CA01 - etilefrine
REF_CLASS_ATC:C01CA02,C01CA02,C01CA02 - isoprenaline
REF_CLASS_ATC:C01CA03,C01CA03,C01CA03 - norepinephrine
REF_CLASS_ATC:C01CA04,C01CA04,C01CA04 - dopamine
REF_CLASS_ATC:C01CA06,C01CA06,C01CA06 - phenylephrine
REF_CLASS_ATC:C01CA07,C01CA07,C01CA07 - dobutamine
REF_CLASS_ATC:C01CA11,C01CA11,C01CA11 - mephentermine
REF_CLASS_ATC:C01CA15,C01CA15,C01CA15 - gepefrine
REF_CLASS_ATC:C01CA16,C01CA16,C01CA16 - ibopamine
REF_CLASS_ATC:C01CA17,C01CA17,C01CA17 - midodrine
REF_CLASS_ATC:C01CA22,C01CA22,C01CA22 - arbutamine
REF_CLASS_ATC:C01CA24,C01CA24,C01CA24 - epinephrine
REF_CLASS_ATC:C01CA26,C01CA26,C01CA26 - ephedrine
REF_CLASS_ATC:C01CE01,C01CE01,C01CE01 - amrinone
REF_CLASS_ATC:C01CE02,C01CE02,C01CE02 - milrinone
REF_CLASS_ATC:C01CX08,C01CX08,C01CX08 - levosimendan
REF_CLASS_ATC:C01CX09,C01CX09,C01CX09 - angiotensin II
REF_CLASS_ATC:C01DA02,C01DA02,C01DA02 - glyceryl trinitrate
REF_CLASS_ATC:C01DA08,C01DA08,C01DA08 - isosorbide dinitrate
REF_CLASS_ATC:C01DA14,C01DA14,C01DA14 - isosorbide mononitrate
REF_CLASS_ATC:C01DX03,C01DX03,C01DX03 - oxyfedrine
REF_CLASS_ATC:C01DX08,C01DX08,C01DX08 - heptaminol
REF_CLASS_ATC:C01DX12,C01DX12,C01DX12 - molsidomine
REF_CLASS_ATC:C01DX16,C01DX16,C01DX16 - nicorandil
REF_CLASS_ATC:C01EA01,C01EA01,C01EA01 - alprostadil
REF_CLASS_ATC:C01EB02,C01EB02,C01EB02 - camphora
REF_CLASS_ATC:C01EB05,C01EB05,C01EB05 - creatinolfosfate
REF_CLASS_ATC:C01EB07,C01EB07,"C01EB07 - fructose 1,6-diphosphate"
REF_CLASS_ATC:C01EB09,C01EB09,C01EB09 - ubidecarenone
REF_CLASS_ATC:C01EB10,C01EB10,C01EB10 - adenosine
REF_CLASS_ATC:C01EB15,C01EB15,C01EB15 - trimetazidine
REF_CLASS_ATC:C01EB16,C01EB16,C01EB16 - ibuprofen
REF_CLASS_ATC:C01EB17,C01EB17,C01EB17 - ivabradine
REF_CLASS_ATC:C01EB18,C01EB18,C01EB18 - ranolazine
REF_CLASS_ATC:C01EB21,C01EB21,C01EB21 - regadenoson
REF_CLASS_ATC:C01EB25,C01EB25,C01EB25 - acoramidis
REF_CLASS_ATC:C02AA52,C02AA52,"C02AA52 - reserpine, combinations"
REF_CLASS_ATC:C02AB02,C02AB02,C02AB02 - methyldopa (racemic)
REF_CLASS_ATC:C02AC01,C02AC01,C02AC01 - clonidine
REF_CLASS_ATC:C02AC02,C02AC02,C02AC02 - guanfacine
REF_CLASS_ATC:C02AC05,C02AC05,C02AC05 - moxonidine
REF_CLASS_ATC:C02AC06,C02AC06,C02AC06 - rilmenidine
REF_CLASS_ATC:C02CA02,C02CA02,C02CA02 - indoramin
REF_CLASS_ATC:C02CA04,C02CA04,C02CA04 - doxazosin
REF_CLASS_ATC:C02CA06,C02CA06,C02CA06 - urapidil
REF_CLASS_ATC:C02DB02,C02DB02,C02DB02 - hydralazine
REF_CLASS_ATC:C02DB04,C02DB04,C02DB04 - cadralazine
REF_CLASS_ATC:C02DC01,C02DC01,C02DC01 - minoxidil
REF_CLASS_ATC:C02DD01,C02DD01,C02DD01 - nitroprusside
REF_CLASS_ATC:C02KD01,C02KD01,C02KD01 - ketanserin
REF_CLASS_ATC:C02KX01,C02KX01,C02KX01 - bosentan
REF_CLASS_ATC:C02KX02,C02KX02,C02KX02 - ambrisentan
REF_CLASS_ATC:C02KX03,C02KX03,C02KX03 - sitaxentan
REF_CLASS_ATC:C02KX04,C02KX04,C02KX04 - macitentan
REF_CLASS_ATC:C02KX05,C02KX05,C02KX05 - riociguat
REF_CLASS_ATC:C02KX54,C02KX54,C02KX54 - macitentan and tadalafil
REF_CLASS_ATC:C02LA51,C02LA51,"C02LA51 - reserpine and diuretics, combinations with other drugs"
REF_CLASS_ATC:C03AA01,C03AA01,C03AA01 - bendroflumethiazide
REF_CLASS_ATC:C03AA03,C03AA03,C03AA03 - hydrochlorothiazide
REF_CLASS_ATC:C03AA05,C03AA05,C03AA05 - polythiazide
REF_CLASS_ATC:C03AX01,C03AX01,"C03AX01 - hydrochlorothiazide, combinations"
REF_CLASS_ATC:C03BA03,C03BA03,C03BA03 - clopamide
REF_CLASS_ATC:C03BA04,C03BA04,C03BA04 - chlortalidone
REF_CLASS_ATC:C03BA08,C03BA08,C03BA08 - metolazone
REF_CLASS_ATC:C03BA10,C03BA10,C03BA10 - xipamide
REF_CLASS_ATC:C03BA11,C03BA11,C03BA11 - indapamide
REF_CLASS_ATC:C03CA01,C03CA01,C03CA01 - furosemide
REF_CLASS_ATC:C03CA02,C03CA02,C03CA02 - bumetanide
REF_CLASS_ATC:C03CA03,C03CA03,C03CA03 - piretanide
REF_CLASS_ATC:C03CA04,C03CA04,C03CA04 - torasemide
REF_CLASS_ATC:C03DA01,C03DA01,C03DA01 - spironolactone
REF_CLASS_ATC:C03DA04,C03DA04,C03DA04 - eplerenone
REF_CLASS_ATC:C03DA05,C03DA05,C03DA05 - finerenone
REF_CLASS_ATC:C03DB02,C03DB02,C03DB02 - triamterene
REF_CLASS_ATC:C03EA01,C03EA01,C03EA01 - hydrochlorothiazide and potassium-sparing agents
REF_CLASS_ATC:C03EA04,C03EA04,C03EA04 - altizide and potassium-sparing agents
REF_CLASS_ATC:C03XA01,C03XA01,C03XA01 - tolvaptan
REF_CLASS_ATC:C04AA01,C04AA01,C04AA01 - isoxsuprine
REF_CLASS_ATC:C04AA02,C04AA02,C04AA02 - buphenine
REF_CLASS_ATC:C04AB01,C04AB01,C04AB01 - phentolamine
REF_CLASS_ATC:C04AC03,C04AC03,C04AC03 - inositol nicotinate
REF_CLASS_ATC:C04AD01,C04AD01,C04AD01 - pentifylline
REF_CLASS_ATC:C04AD03,C04AD03,C04AD03 - pentoxifylline
REF_CLASS_ATC:C04AE01,C04AE01,C04AE01 - ergoloid mesylates
REF_CLASS_ATC:C04AE02,C04AE02,C04AE02 - nicergoline
REF_CLASS_ATC:C04AE04,C04AE04,C04AE04 - dihydroergocristine
REF_CLASS_ATC:C04AE54,C04AE54,"C04AE54 - dihydroergocristine, combinations"
REF_CLASS_ATC:C04AX01,C04AX01,C04AX01 - cyclandelate
REF_CLASS_ATC:C04AX07,C04AX07,C04AX07 - vincamine
REF_CLASS_ATC:C04AX10,C04AX10,C04AX10 - moxisylyte
REF_CLASS_ATC:C04AX11,C04AX11,C04AX11 - bencyclane
REF_CLASS_ATC:C04AX17,C04AX17,C04AX17 - vinburnine
REF_CLASS_ATC:C04AX20,C04AX20,C04AX20 - buflomedil
REF_CLASS_ATC:C04AX21,C04AX21,C04AX21 - naftidrofuryl
REF_CLASS_ATC:C05AA01,C05AA01,C05AA01 - hydrocortisone
REF_CLASS_ATC:C05AD01,C05AD01,C05AD01 - lidocaine
REF_CLASS_ATC:C05AD04,C05AD04,C05AD04 - cinchocaine
REF_CLASS_ATC:C05AD05,C05AD05,C05AD05 - procaine
REF_CLASS_ATC:C05AD06,C05AD06,C05AD06 - oxetacaine
REF_CLASS_ATC:C05AE01,C05AE01,C05AE01 - glyceryl trinitrate
REF_CLASS_ATC:C05AE02,C05AE02,C05AE02 - isosorbide dinitrate
REF_CLASS_ATC:C05AX02,C05AX02,"C05AX02 - bismuth preparations, combinations"
REF_CLASS_ATC:C05AX03,C05AX03,"C05AX03 - other preparations, combinations"
REF_CLASS_ATC:C05AX04,C05AX04,C05AX04 - zinc preparations
REF_CLASS_ATC:C05BA01,C05BA01,C05BA01 - organo-heparinoid
REF_CLASS_ATC:C05BA03,C05BA03,C05BA03 - heparin
REF_CLASS_ATC:C05BA04,C05BA04,C05BA04 - pentosan polysulfate sodium
REF_CLASS_ATC:C05BB02,C05BB02,C05BB02 - polidocanol
REF_CLASS_ATC:C05BB04,C05BB04,C05BB04 - sodium tetradecyl sulfate
REF_CLASS_ATC:C05BX01,C05BX01,C05BX01 - calcium dobesilate
REF_CLASS_ATC:C05BX51,C05BX51,"C05BX51 - calcium dobesilate, combinations"
REF_CLASS_ATC:C05CA01,C05CA01,C05CA01 - rutoside
REF_CLASS_ATC:C05CA03,C05CA03,C05CA03 - diosmin
REF_CLASS_ATC:C05CA05,C05CA05,C05CA05 - hidrosmin
REF_CLASS_ATC:C05CA51,C05CA51,"C05CA51 - rutoside, combinations"
REF_CLASS_ATC:C05CA53,C05CA53,"C05CA53 - diosmin, combinations"
REF_CLASS_ATC:C05CA54,C05CA54,"C05CA54 - troxerutin, combinations"
REF_CLASS_ATC:C05CX03,C05CX03,C05CX03 - Hippocastani semen
REF_CLASS_ATC:C07AA05,C07AA05,C07AA05 - propranolol
REF_CLASS_ATC:C07AA06,C07AA06,C07AA06 - timolol
REF_CLASS_ATC:C07AA07,C07AA07,C07AA07 - sotalol
REF_CLASS_ATC:C07AA12,C07AA12,C07AA12 - nadolol
REF_CLASS_ATC:C07AA16,C07AA16,C07AA16 - tertatolol
REF_CLASS_ATC:C07AA23,C07AA23,C07AA23 - penbutolol
REF_CLASS_ATC:C07AB02,C07AB02,C07AB02 - metoprolol
REF_CLASS_ATC:C07AB03,C07AB03,C07AB03 - atenolol
REF_CLASS_ATC:C07AB04,C07AB04,C07AB04 - acebutolol
REF_CLASS_ATC:C07AB05,C07AB05,C07AB05 - betaxolol
REF_CLASS_ATC:C07AB07,C07AB07,C07AB07 - bisoprolol
REF_CLASS_ATC:C07AB08,C07AB08,C07AB08 - celiprolol
REF_CLASS_ATC:C07AB09,C07AB09,C07AB09 - esmolol
REF_CLASS_ATC:C07AB12,C07AB12,C07AB12 - nebivolol
REF_CLASS_ATC:C07AB14,C07AB14,C07AB14 - landiolol
REF_CLASS_ATC:C07AG01,C07AG01,C07AG01 - labetalol
REF_CLASS_ATC:C07AG02,C07AG02,C07AG02 - carvedilol
REF_CLASS_ATC:C07BB07,C07BB07,C07BB07 - bisoprolol and thiazides
REF_CLASS_ATC:C07CB03,C07CB03,C07CB03 - atenolol and other diuretics
REF_CLASS_ATC:C07CB53,C07CB53,"C07CB53 - atenolol and other diuretics, combinations"
REF_CLASS_ATC:C07DA06,C07DA06,"C07DA06 - timolol, thiazides and other diuretics"
REF_CLASS_ATC:C07DB01,C07DB01,"C07DB01 - atenolol, thiazides and other diuretics"
REF_CLASS_ATC:C07FB12,C07FB12,C07FB12 - nebivolol and amlodipine
REF_CLASS_ATC:C07FX04,C07FX04,C07FX04 - bisoprolol and acetylsalicylic acid
REF_CLASS_ATC:C07FX06,C07FX06,C07FX06 - carvedilol and ivabradine
REF_CLASS_ATC:C08CA01,C08CA01,C08CA01 - amlodipine
REF_CLASS_ATC:C08CA02,C08CA02,C08CA02 - felodipine
REF_CLASS_ATC:C08CA03,C08CA03,C08CA03 - isradipine
REF_CLASS_ATC:C08CA04,C08CA04,C08CA04 - nicardipine
REF_CLASS_ATC:C08CA05,C08CA05,C08CA05 - nifedipine
REF_CLASS_ATC:C08CA06,C08CA06,C08CA06 - nimodipine
REF_CLASS_ATC:C08CA07,C08CA07,C08CA07 - nisoldipine
REF_CLASS_ATC:C08CA08,C08CA08,C08CA08 - nitrendipine
REF_CLASS_ATC:C08CA09,C08CA09,C08CA09 - lacidipine
REF_CLASS_ATC:C08CA10,C08CA10,C08CA10 - nilvadipine
REF_CLASS_ATC:C08CA11,C08CA11,C08CA11 - manidipine
REF_CLASS_ATC:C08CA12,C08CA12,C08CA12 - barnidipine
REF_CLASS_ATC:C08CA13,C08CA13,C08CA13 - lercanidipine
REF_CLASS_ATC:C08CA14,C08CA14,C08CA14 - cilnidipine
REF_CLASS_ATC:C08CX01,C08CX01,C08CX01 - mibefradil
REF_CLASS_ATC:C08DA01,C08DA01,C08DA01 - verapamil
REF_CLASS_ATC:C08DA02,C08DA02,C08DA02 - gallopamil
REF_CLASS_ATC:C08DA51,C08DA51,"C08DA51 - verapamil, combinations"
REF_CLASS_ATC:C08DB01,C08DB01,C08DB01 - diltiazem
REF_CLASS_ATC:C08EA01,C08EA01,C08EA01 - fendiline
REF_CLASS_ATC:C08EA02,C08EA02,C08EA02 - bepridil
REF_CLASS_ATC:C09AA01,C09AA01,C09AA01 - captopril
REF_CLASS_ATC:C09AA02,C09AA02,C09AA02 - enalapril
REF_CLASS_ATC:C09AA03,C09AA03,C09AA03 - lisinopril
REF_CLASS_ATC:C09AA04,C09AA04,C09AA04 - perindopril
REF_CLASS_ATC:C09AA05,C09AA05,C09AA05 - ramipril
REF_CLASS_ATC:C09AA06,C09AA06,C09AA06 - quinapril
REF_CLASS_ATC:C09AA07,C09AA07,C09AA07 - benazepril
REF_CLASS_ATC:C09AA08,C09AA08,C09AA08 - cilazapril
REF_CLASS_ATC:C09AA09,C09AA09,C09AA09 - fosinopril
REF_CLASS_ATC:C09AA10,C09AA10,C09AA10 - trandolapril
REF_CLASS_ATC:C09AA11,C09AA11,C09AA11 - spirapril
REF_CLASS_ATC:C09AA13,C09AA13,C09AA13 - moexipril
REF_CLASS_ATC:C09AA15,C09AA15,C09AA15 - zofenopril
REF_CLASS_ATC:C09AA16,C09AA16,C09AA16 - imidapril
REF_CLASS_ATC:C09BA01,C09BA01,C09BA01 - captopril and diuretics
REF_CLASS_ATC:C09BA02,C09BA02,C09BA02 - enalapril and diuretics
REF_CLASS_ATC:C09BA03,C09BA03,C09BA03 - lisinopril and diuretics
REF_CLASS_ATC:C09BA04,C09BA04,C09BA04 - perindopril and diuretics
REF_CLASS_ATC:C09BA05,C09BA05,C09BA05 - ramipril and diuretics
REF_CLASS_ATC:C09BA06,C09BA06,C09BA06 - quinapril and diuretics
REF_CLASS_ATC:C09BA07,C09BA07,C09BA07 - benazepril and diuretics
REF_CLASS_ATC:C09BA08,C09BA08,C09BA08 - cilazapril and diuretics
REF_CLASS_ATC:C09BA09,C09BA09,C09BA09 - fosinopril and diuretics
REF_CLASS_ATC:C09BA13,C09BA13,C09BA13 - moexipril and diuretics
REF_CLASS_ATC:C09BA15,C09BA15,C09BA15 - zofenopril and diuretics
REF_CLASS_ATC:C09BB02,C09BB02,C09BB02 - enalapril and lercanidipine
REF_CLASS_ATC:C09BB03,C09BB03,C09BB03 - lisinopril and amlodipine
REF_CLASS_ATC:C09BB04,C09BB04,C09BB04 - perindopril and amlodipine
REF_CLASS_ATC:C09BB05,C09BB05,C09BB05 - ramipril and felodipine
REF_CLASS_ATC:C09BB06,C09BB06,C09BB06 - enalapril and nitrendipine
REF_CLASS_ATC:C09BB07,C09BB07,C09BB07 - ramipril and amlodipine
REF_CLASS_ATC:C09BX01,C09BX01,"C09BX01 - perindopril, amlodipine and indapamide"
REF_CLASS_ATC:C09BX02,C09BX02,C09BX02 - perindopril and bisoprolol
REF_CLASS_ATC:C09BX03,C09BX03,"C09BX03 - ramipril, amlodipine and hydrochlorothiazide"
REF_CLASS_ATC:C09BX05,C09BX05,C09BX05 - ramipril and bisoprolol
REF_CLASS_ATC:C09BX06,C09BX06,"C09BX06 - perindopril, bisoprolol, amlodipine and indapamide"
REF_CLASS_ATC:C09CA01,C09CA01,C09CA01 - losartan
REF_CLASS_ATC:C09CA02,C09CA02,C09CA02 - eprosartan
REF_CLASS_ATC:C09CA03,C09CA03,C09CA03 - valsartan
REF_CLASS_ATC:C09CA04,C09CA04,C09CA04 - irbesartan
REF_CLASS_ATC:C09CA06,C09CA06,C09CA06 - candesartan
REF_CLASS_ATC:C09CA07,C09CA07,C09CA07 - telmisartan
REF_CLASS_ATC:C09CA08,C09CA08,C09CA08 - olmesartan medoxomil
REF_CLASS_ATC:C09CA09,C09CA09,C09CA09 - azilsartan medoxomil
REF_CLASS_ATC:C09DA01,C09DA01,C09DA01 - losartan and diuretics
REF_CLASS_ATC:C09DA02,C09DA02,C09DA02 - eprosartan and diuretics
REF_CLASS_ATC:C09DA03,C09DA03,C09DA03 - valsartan and diuretics
REF_CLASS_ATC:C09DA04,C09DA04,C09DA04 - irbesartan and diuretics
REF_CLASS_ATC:C09DA06,C09DA06,C09DA06 - candesartan and diuretics
REF_CLASS_ATC:C09DA07,C09DA07,C09DA07 - telmisartan and diuretics
REF_CLASS_ATC:C09DA08,C09DA08,C09DA08 - olmesartan medoxomil and diuretics
REF_CLASS_ATC:C09DB01,C09DB01,C09DB01 - valsartan and amlodipine
REF_CLASS_ATC:C09DB02,C09DB02,C09DB02 - olmesartan medoxomil and amlodipine
REF_CLASS_ATC:C09DB04,C09DB04,C09DB04 - telmisartan and amlodipine
REF_CLASS_ATC:C09DB05,C09DB05,C09DB05 - irbesartan and amlodipine
REF_CLASS_ATC:C09DB06,C09DB06,C09DB06 - losartan and amlodipine
REF_CLASS_ATC:C09DB07,C09DB07,C09DB07 - candesartan and amlodipine
REF_CLASS_ATC:C09DX01,C09DX01,"C09DX01 - valsartan, amlodipine and hydrochlorothiazide"
REF_CLASS_ATC:C09DX03,C09DX03,"C09DX03 - olmesartan medoxomil, amlodipine and hydrochlorothiazide"
REF_CLASS_ATC:C09DX04,C09DX04,C09DX04 - valsartan and sacubitril
REF_CLASS_ATC:C09DX06,C09DX06,"C09DX06 - candesartan, amlodipine and hydrochlorothiazide"
REF_CLASS_ATC:C09XA02,C09XA02,C09XA02 - aliskiren
REF_CLASS_ATC:C09XA52,C09XA52,C09XA52 - aliskiren and hydrochlorothiazide
REF_CLASS_ATC:C09XA53,C09XA53,C09XA53 - aliskiren and amlodipine
REF_CLASS_ATC:C09XA54,C09XA54,"C09XA54 - aliskiren, amlodipine and hydrochlorothiazide"
REF_CLASS_ATC:C09XX01,C09XX01,C09XX01 - sparsentan
REF_CLASS_ATC:C10AA01,C10AA01,C10AA01 - simvastatin
