Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Titolare AIC;AIC;Codice Gruppo Equivalenza;X=in lista di trasparenza Aifa 15/10/2025 ;Solo in lista di Regione:;Metri cubi ossigeno 
Desloratadina;DESLORATADINA 5MG 20 UNITA' USO ORALE;DESLORATADINA*20 cpr rivestite 5 mg;4,11;MYLAN SpA;041081074;G2A;X;;
Desloratadina;DESLORATADINA 5MG 20 UNITA' USO ORALE;DESLORATADINA*20 cpr rivestite 5 mg;4,11;TEVA B.V.;041621044;G2A;X;;
Desloratadina;DESLORATADINA 5MG 20 UNITA' USO ORALE;DESLORATADINA*20 cpr rivestite 5 mg;4,11;TOWA PHARMACEUTICAL SpA;042376044;G2A;X;;
Desloratadina;DESLORATADINA 5MG 20 UNITA' USO ORALE;DESLORATADINA*20 cpr rivestite 5mg;4,11;AUROBINDO PHARMA ITALIA Srl;045156015;G2A;X;;
Desloratadina;DESLORATADINA 5MG 20 UNITA' USO ORALE;EFESTAD*20 cpr rivestite 5 mg;4,11;EG SpA;040855037;G2A;X;;
Desmopressina;DESMOPRESSINA 0,1MG 30 UNITA' USO ORALE;PSEURIN*30 cpr div 0,1 mg;20,13;FARTO Srl ;036437010;EJA;;;
Desmopressina;DESMOPRESSINA 0,2MG 30 UNITA' USO ORALE;PSEURIN*30 cpr div 0,2 mg;40,15;FARTO Srl ;036437022;EJB;;;
Desmopressina;DESMOPRESSINA 60MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 60 mcg;14,75;SANDOZ SpA;050711011;EJC;X;;
Desmopressina;DESMOPRESSINA 60MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 60 mcg;14,75;TEVA ITALIA Srl;050838034;EJC;X;;
Desmopressina;DESMOPRESSINA 60MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 60 mcg;14,75;DOC GENERICI Srl;050975034;EJC;X;;
Desmopressina;DESMOPRESSINA 60MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 60 mcg flacone;14,75;ZENTIVA ITALIA Srl;050735152;EJC;X;;
Desmopressina;DESMOPRESSINA 60MCG 30 UNITA' USO ORALE;MINIRIN/DDAVP*30 cpr sublinguali 60 mcg;19,25;FERRING SpA;023892096;EJC;X;;
Desmopressina;DESMOPRESSINA 120MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 120 mcg;29,44;SANDOZ SpA;050711023;EJD;X;;
Desmopressina;DESMOPRESSINA 120MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 120 mcg;29,44;TEVA ITALIA Srl;050838198;EJD;X;;
Desmopressina;DESMOPRESSINA 120MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 120 mcg;29,44;DOC GENERICI Srl;050975198;EJD;X;;
Desmopressina;DESMOPRESSINA 120MCG 30 UNITA' USO ORALE;DESMOPRESSINA*30 cpr sublinguali 120 mcg flacone;29,44;ZENTIVA ITALIA Srl;050735315;EJD;X;;
Desmopressina;DESMOPRESSINA 120MCG 30 UNITA' USO ORALE;MINIRIN/DDAVP*30 cpr sublinguali 120 mcg;33,92;FERRING SpA;023892122;EJD;X;;
Desmopressina;DESMOPRESSINA 4MCG 1ML 10 UNITA' USO PARENTERALE;MINIRIN/DDAVP*10 fiale SC 4 mcg 1 ml;47,81;FERRING SpA;023892021;EJG;;;
Desmopressina;DESMOPRESSINA 4MCG 0,5ML 10 UNITA' USO PARENTERALE;EMOSINT*10 fiale EV SC 4 mcg 0,5 ml;40,32;KEDRION SpA;027665013;EJH;;;
Desmopressina;DESMOPRESSINA 20MCG 10 UNITA' USO PARENTERALE;EMOSINT*10 fiale EV SC 20 mcg 1 ml;137,02;KEDRION SpA;027665025;EJI;;;
Desmopressina;DESMOPRESSINA 0,125MG SPRAY USO NASALE;MINIRIN/DDAVP*spray nasale 0,125 mg 2,5 ml;9,80;FERRING SpA;023892033;K6A;;;
Desossiribonucleasi;DESOSSIRIBONUCLEASI 2.500UI 2,5ML 6 UNITA' USO RESPIRATORIO;PULMOZYME*sosp inal 6 fiale 2.500 UI 2,5 ml;260,41;ROCHE SpA;029352010;BRR;;;
Dexibuprofene;DEXIBUPROFENE 300MG 30 UNITA' USO ORALE;FENEXTRA*orale grat 30 bust 300 mg;5,28;BRUNO FARMACEUTICI SpA;035512072;K8A;;;
Dexibuprofene;DEXIBUPROFENE 400MG 30 UNITA' USO ORALE;FENEXTRA*30 cpr rivestite 400 mg;7,05;BRUNO FARMACEUTICI SpA;035512045;K8B;;;
Dexibuprofene;DEXIBUPROFENE 400MG 30 UNITA' USO ORALE;FENEXTRA*orale grat 30 bust 400 mg;7,05;BRUNO FARMACEUTICI SpA;035512084;K8B;;;
Dexibuprofene;DEXIBUPROFENE 400MG 30 UNITA' USO ORALE;SERACTIL*30 cpr rivestite 400 mg;7,42;NEOPHARMED GENTILI SpA;034765154;K8B;;;
Dexibuprofene;DEXIBUPROFENE 400MG 30 UNITA' USO ORALE;SERACTIL*orale polv 30 bust 400 mg;7,42;NEOPHARMED GENTILI SpA;034765228;K8B;;;
Diazossido;DIAZOSSIDO 100MG 100 UNITA' USO ORALE;PROGLICEM*100 cps 100 mg;87,39;MSD ITALIA Srl;023060039;K9A;;;
Diazossido;DIAZOSSIDO 25MG 100 UNITA' USO ORALE;PROGLICEM*100 cps 25 mg;22,58;MSD ITALIA Srl;023060027;K9B;;;
Diclofenac;DICLOFENAC 100MG 20 UNITA' USO ORALE;DEALGIC*20 cps 100 mg rilascio prolungato;6,03;FARMA GROUP Srl;028943025;28A;X;;
Diclofenac;DICLOFENAC 100MG 20 UNITA' USO ORALE;DICLOREUM*20 cpr 100 mg rilascio prolungato;5,28;ALFASIGMA SpA;024515088;28A;X;;
Diclofenac;DICLOFENAC 100MG 20 UNITA' USO ORALE;FENADOL*20 cpr 100 mg rilascio prolungato;4,80;PROGE FARM Srl;032141018;28A;X;;
Diclofenac;DICLOFENAC 100MG 20 UNITA' USO ORALE;FENDER*20 cpr 100 mg rilascio prolungato;4,82;S.F. GROUP Srl;033803014;28A;X;;
Diclofenac;DICLOFENAC 100MG 21 UNITA' USO ORALE;DICLOFENAC*21 cpr 100 mg rilascio prolungato;4,82;EG SpA;029456050;28B;X;;
Diclofenac;DICLOFENAC 100MG 21 UNITA' USO ORALE;DICLOFENAC*21 cpr 100 mg rilascio prolungato;4,82;MYLAN SpA;033062050;28B;X;;
Diclofenac;DICLOFENAC 100MG 21 UNITA' USO ORALE;DICLOFENAC*21 cpr 100 mg rilascio prolungato;4,82;DOC GENERICI Srl;033727025;28B;X;;
Diclofenac;DICLOFENAC 100MG 21 UNITA' USO ORALE;DICLOFENAC*21 cpr 100 mg rilascio prolungato;4,82;HEXAL AG;036053015;28B;X;;
Diclofenac;DICLOFENAC 100MG 21 UNITA' USO ORALE;VOLTAREN*21 cpr 100 mg rilascio prolungato;7,24;NOVARTIS FARMA SpA;023181035;28B;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;DICLOFENAC*30 cpr gastrores 50 mg;3,86;EG SpA;029456011;28C;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;DICLOFENAC*30 cpr gastrores 50 mg;3,51;SANDOZ SpA;032786028;28C;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;DICLOREUM*30 cpr gastrores 50 mg;3,86;ALFASIGMA SpA;024515049;28C;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;VOLTAREN*30 cpr gastrores 50 mg;4,64;NOVARTIS FARMA SpA;023181011;28C;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;VOLTFAST*30 bust grat 50 mg;5,24;NOVARTIS FARMA SpA;028945032;28C;X;;
Diclofenac;DICLOFENAC 50MG 30 UNITA' USO ORALE;VOLTFAST*30 cpr rivestite 50 mg;5,24;NOVARTIS FARMA SpA;028945020;28C;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;DICLOFENAC*30 cpr 75 mg rilascio prolungato;4,83;DOC GENERICI Srl;033727013;28D;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;DICLOFENAC*30 cpr 75 mg rilascio prolungato;3,86;MYLAN SpA;047332022;28D;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;VOLTAREN*30 cpr 75 mg rilascio prolungato;8,27;NOVARTIS FARMA SpA;023181074;28D;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;VOLTAREN*30 cpr 75 mg rilascio prolungato;7,70;FARMA 1000 Srl;037116050;28D;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;VOLTAREN*30 cpr 75 mg rilascio prolungato;8,27;BB FARMA Srl;038531012;28D;X;;
Diclofenac;DICLOFENAC 75MG 30 UNITA' USO ORALE;VOLTAREN*30 cpr 75 mg rilascio prolungato;8,27;MEDIFARM Srl;041671025;28D;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;DICLOFENAC*5 fiale IM 75 mg 3 ml;2,16;EG SpA;029456035;28E;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;DICLOFENAC*5 fiale IM 75 mg 3 ml;2,16;RATIOPHARM GMBH;029457037;28E;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;DICLOFENAC*5 fiale IM 75 mg 3 ml;2,16;SANDOZ SpA;032786042;28E;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;DICLOFENAC*5 fiale IM 75 mg 3 ml;2,16;ALMUS Srl;035242015;28E;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;DICLOFENAC*5 fiale IM 75 mg 3 ml;2,16;DOC GENERICI Srl;035248018;28E;X;;
Diclofenac;DICLOFENAC 75MG 5 UNITA' USO PARENTERALE;VOLTAREN*5 fiale IM 75 mg 3 ml;2,94;NOVARTIS FARMA SpA;023181047;28E;X;;
Diclofenac;DICLOFENAC 75MG 6 UNITA' USO PARENTERALE;DICLOREUM*6 fiale IM 75 mg 3 ml;3,56;ALFASIGMA SpA;024515076;28F;;;
Diclofenac;DICLOFENAC 150MG 20 UNITA' USO ORALE;DICLOREUM*20 cps 150 mg rilascio prolungato;12,39;ALFASIGMA SpA;024515114;28G;;;
Diclofenac;DICLOFENAC 75MG 20 UNITA' USO ORALE;DEALGIC*20 cps 75 mg rilascio prolungato;6,63;FARMA GROUP Srl;028943013;28H;X;;
Diclofenac;DICLOFENAC 75MG 20 UNITA' USO ORALE;DEFLAMAT*20 cps 75 mg rilascio modificato;6,63;MORGANCEUTICAL Srl;028534016;28H;X;;
Diclofenac;DICLOFENAC 50MG/ML 100ML USO ORALE;EMINOCS*orale soluz 100 ml 50 mg/ml;12,86;DYMALIFE PHARMACEUTICAL Srl;038049045;28I;;;
Diclofenac;DICLOFENAC 3% 60G GEL USO ESTERNO;DICLOFENAC*gel 1 tubo 60 g 30 mg/g;40,09;DOC GENERICI Srl;051144032;JTI;x;;
Diclofenac;DICLOFENAC 3% 60G GEL USO ESTERNO;SOLACUTAN*gel 60 g 3%;40,09;MIBE PHARMA ITALIA Srl;045242068;JTI;X;;
Diclofenac;DICLOFENAC 3% 60G GEL USO ESTERNO;SOLARAZE*gel derm 60 g 3%;42,99;ALMIRALL S.A.;034129039;JTI;X;;
Diclofenac;DICLOFENAC 3% 90G GEL USO ESTERNO;DICLOFENAC*gel 1 tubo 90 g 30 mg/g;64,67;DOC GENERICI Srl;051144044;KGF;x;;
Diclofenac;DICLOFENAC 3% 90G GEL USO ESTERNO;SOLACUTAN*gel 90 g 3%;64,67;MIBE PHARMA ITALIA Srl;045242070;KGF;X;;
Diclofenac;DICLOFENAC 3% 90G GEL USO ESTERNO;SOLARAZE*gel derm 90 g 3%;68,57;ALMIRALL S.A.;034129041;KGF;X;;
Diclofenac/misoprostolo;DICLOFENAC+MISOPROSTOLO 50+0,2MG 30 UNITA' USO ORALE;ARTROTEC*30 cpr 50 mg + 200 mcg;12,27;PFIZER ITALIA Srl;029757010;KAA;;;
